iteration,count,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
0,18,3.01771,19.8621,8.12923,0.991905,0.737355,384.586,540.543
1,17,2.88563,19.0921,7.91404,0.972364,0.700509,469.527,510.455
2,19,2.88107,19.081,7.97346,0.969854,0.694468,431.259,516.586
3,28,2.93904,19.5652,8.10558,0.99395,0.742526,487.842,550.853
4,36,2.87514,19.2052,8.08903,0.972198,0.743078,444.115,544.553
5,42,2.82131,18.6935,8.15824,0.946505,0.73244,418.642,556.96
6,44,2.86823,18.8023,8.35538,0.95974,0.743052,452.315,606.15
7,39,2.90085,18.8105,8.6187,0.973601,0.754855,503.076,669.806
8,39,2.84992,18.7053,8.63462,0.953776,0.733487,512.823,688.757
9,41,2.90537,18.4658,8.57107,0.963847,0.733192,563.278,677.666
10,46,2.92081,18.3985,8.49845,0.95092,0.737471,551.927,681.849
11,50,2.97701,18.6196,8.70751,0.983107,0.771263,546.319,713.013
12,54,2.89618,18.1854,8.54891,0.974151,0.741884,514.579,682.639
13,55,2.83302,17.9691,8.55947,0.967164,0.741639,524.828,689.608
14,53,2.90281,17.8199,8.87042,0.993977,0.762918,523.85,748.44
15,53,2.87961,17.3955,8.92927,0.982969,0.754884,585.308,762.71
16,50,2.87955,17.3787,9.00426,0.992554,0.747445,612.806,783.816
17,53,2.88604,17.1875,9.08543,0.986994,0.769824,619.923,807.658
18,51,2.86412,17.0936,9.36722,0.98956,0.771814,579.882,906.231
19,44,2.73836,16.7903,9.3435,0.979887,0.782792,590.982,900.125
20,40,2.74455,16.3334,9.46666,0.992764,0.757979,801.005,996.282
21,41,2.82385,16.484,9.83323,1.03477,0.77553,815.591,1068.79
22,41,2.87594,16.2739,9.83304,1.05581,0.785271,784.735,1079.54
23,39,2.92641,15.5435,9.74674,1.07262,0.798761,643.146,1013.06
24,38,2.92423,15.0744,9.87655,1.05435,0.764232,706.318,1079.69
25,33,2.94768,15.3973,9.67742,1.03271,0.757888,773.626,1004.45
26,35,2.89831,15.4666,9.82786,1.02076,0.752138,817.73,1033.41
27,34,2.7845,15.3915,10.0043,1.04607,0.742114,824.69,1102.82
28,32,2.85313,14.9241,10.0581,1.01833,0.758288,855.448,1106.82
29,35,2.854,14.3768,9.80308,1.01856,0.73459,782.246,1034.26
30,37,2.877,13.8245,9.63162,1.00589,0.740385,762.32,998.284
31,36,2.90015,13.3304,9.68394,1.03323,0.764296,642.953,1008.47
32,36,2.93614,12.9097,9.53074,1.01852,0.771156,743.287,1052.03
33,36,2.8181,12.5546,10.0569,1.06734,0.737386,1087.08,1284.28
34,40,2.93105,12.6411,10.3325,1.12503,0.745537,1073.62,1409.55
35,37,2.9956,12.6378,10.7495,1.1525,0.741534,1308.7,1539.26
36,43,2.9593,12.2107,11.1341,1.22725,0.754926,1166.05,1758.68
37,40,2.92506,11.9924,11.2646,1.27733,0.745926,1240.8,1755.99
38,45,2.67867,11.1767,10.487,1.15415,0.668818,967.289,1555.16
39,43,2.83616,11.2484,10.8974,1.19645,0.703116,864.582,1633.28
40,34,2.78586,11.2943,10.5482,1.20225,0.699875,1059.29,1339.53
41,40,2.69691,11.483,10.9217,1.19879,0.730252,1138.15,1505.24
42,39,2.62706,11.7531,11.0174,1.18684,0.734645,1265.87,1576.81
43,44,2.73548,11.6149,11.3012,1.2473,0.762966,1338.47,1792.52
44,47,2.72657,11.3201,11.1409,1.21843,0.752849,1334.47,1779.81
45,47,2.79824,11.336,11.1612,1.20454,0.730758,1471.77,1727.96
46,58,2.59431,11.2241,11.3436,1.24133,0.714192,1173.43,1820.18
47,50,2.84078,12.2389,11.8066,1.2486,0.709544,1464.14,2025.05
48,55,2.90282,12.1502,12.1062,1.22367,0.690386,1327.93,2211.86
49,54,2.75466,11.2679,11.3135,1.13858,0.669103,1279.21,1882.19
50,52,2.99606,11.3176,11.4891,1.13665,0.680823,1535.04,2011.24
51,57,3.06293,11.497,11.9096,1.16385,0.679194,1564.09,2307.71
52,57,3.13768,11.3873,11.8221,1.13541,0.642709,1526.14,2344.59
53,55,3.25674,11.7902,12.0439,1.14738,0.645808,1716.38,2367.28
