id,speed,senseRadius,size,offspringCount,offspringQuality,energy,maxEnergy
66,2.4046,14.7284,6.40174,0.662383,0.532336,245.614,262.358
53,1.73057,13.4642,6.33871,0.693953,0.52268,216.392,254.685
65,2.79083,18.6228,8.20902,1.04825,0.772264,450.772,553.189
75,3.05754,19.2031,8.29698,1.06674,0.377015,461.365,571.164
55,3.05752,19.2208,8.09506,1.0257,0.677264,476.452,530.469
77,2.92007,21.3764,7.66888,0.973522,0.745606,341.644,451.02
62,3.05096,20.8909,7.37547,0.905748,0.801977,323.439,401.208
61,2.79083,18.6228,8.20902,1.04825,0.772264,527.733,553.189
60,2.77076,20.0789,8.35145,1.02006,0.816584,498.482,582.486
59,2.84718,18.06,8.73821,0.998806,0.757903,573.619,667.218
58,3.26984,20.0281,8.70528,0.900729,0.723886,578.892,659.702
70,3.00766,19.0906,8.19613,0.9774,0.697295,509.938,550.588
73,3.05754,19.2031,8.29698,1.06674,0.676413,426.976,571.164
64,2.82633,20.3191,8.3819,0.96587,0.689048,338.751,588.881
69,3.05752,19.2208,8.09506,1.0257,0.677264,395.643,530.469
67,2.96087,19.6981,7.4762,1.00416,0.782491,341.408,417.871
52,3.01681,20.9203,7.93836,1.08199,0.688087,483.122,500.257
68,2.83718,19.955,8.44824,1.05549,0.802335,455.281,602.975
74,3.2858,19.8351,8.27308,0.905725,0.682185,548.4,566.242
