iteration,count,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
0,49,10.1305,0.10078,0.995888,0.810214,898.126,944.756
1,49,10.1305,0.10078,0.995888,0.810214,894.102,944.756
2,49,10.1305,0.10078,0.995888,0.810214,939.796,944.756
3,52,10.0716,0.100534,0.994268,0.804743,842.933,907.08
4,71,10.0287,0.100465,0.991174,0.805264,820.892,946.148
5,70,10.0593,0.100533,0.99085,0.80645,940.621,953.915
6,67,10.1429,0.100471,0.991137,0.805097,940.284,970.446
7,70,10.0855,0.10013,0.986022,0.801217,889.116,948.706
8,85,10.1181,0.100683,0.976086,0.79403,912.444,983.283
9,91,10.2534,0.0991227,0.985509,0.804148,956.295,1017.16
10,89,10.2465,0.099303,0.98963,0.80382,996.466,1019.94
11,94,10.2575,0.0985948,0.9873,0.804565,947.065,1010.34
12,103,10.2211,0.0986811,0.986342,0.798314,926.863,993.8
13,108,10.2506,0.0986015,0.980382,0.803265,953.785,1007.88
14,108,10.2325,0.0985421,0.98492,0.807648,981.653,1015.3
15,110,10.2443,0.0981557,0.992606,0.802429,944.587,1009
16,111,10.2219,0.0978647,0.990718,0.798531,977.96,1019.87
17,113,10.274,0.0969135,0.989183,0.792447,981.676,1030.56
18,120,10.3556,0.0969251,1.00003,0.801292,965.403,1055.12
19,114,10.4075,0.0967463,0.997893,0.804084,1037.67,1078.12
20,103,10.4087,0.0946708,0.993236,0.791138,1027.51,1088.86
21,103,10.5728,0.0952758,0.992483,0.793078,1084.06,1152.92
22,104,10.6598,0.095215,0.988615,0.788765,1092.32,1149.83
23,118,10.8254,0.0951986,0.998282,0.790981,1128.97,1233.09
24,125,10.7278,0.0958039,1.00071,0.793009,1128.15,1216.05
25,127,10.9047,0.0962346,0.99965,0.7915,1219.78,1289.05
26,128,10.9429,0.0972268,0.995297,0.793461,1267.4,1305.82
27,138,10.934,0.0950387,0.988404,0.774431,1197.09,1266.08
28,154,10.9291,0.0945839,0.995065,0.782504,1168.73,1296.13
29,161,11.0749,0.0940705,0.998275,0.781652,1229.42,1321.33
30,163,11.1586,0.0944088,0.996207,0.780321,1312.05,1397.42
31,172,11.0584,0.0940043,0.998005,0.77168,1313.32,1358.91
32,185,11.1016,0.0934695,1.01554,0.754705,1265.83,1336.55
33,201,11.1356,0.0929516,1.03046,0.752223,1275.14,1354.5
34,205,11.2403,0.0944197,1.0366,0.75585,1289.18,1379.69
35,208,11.2821,0.0941134,1.04788,0.743858,1351.56,1401.43
36,207,11.3891,0.094812,1.05594,0.737808,1405.23,1465.27
37,214,11.5469,0.0962159,1.06387,0.725695,1473.9,1519.77
38,224,11.5524,0.0966351,1.07248,0.712697,1471.68,1520.27
39,236,11.5665,0.0964772,1.08539,0.697372,1499.24,1534.32
40,255,11.6257,0.0965142,1.08538,0.688137,1517.3,1581.91
41,286,11.6357,0.0964705,1.08911,0.664905,1510.72,1570.08
42,318,11.7163,0.0964507,1.10523,0.63781,1509.87,1584.04
43,359,11.7408,0.0953297,1.12967,0.616433,1533.23,1588.18
44,396,11.8595,0.0961089,1.13892,0.600524,1548.86,1619.27
45,450,11.8821,0.0958614,1.15662,0.574681,1593.87,1647.72
46,526,12.1,0.0968283,1.16793,0.55981,1600.62,1699.57
47,572,12.2981,0.0965185,1.20493,0.533418,1719.49,1779.59
48,657,12.3783,0.09601,1.23272,0.502531,1765.41,1831.46
49,818,12.5703,0.0954407,1.26622,0.470059,1761.96,1858.03
50,973,12.7371,0.0931828,1.30098,0.441172,1867.54,1967.16
51,1222,12.8659,0.0931883,1.34109,0.407223,1905.39,1991.06
52,1603,13.0891,0.0908067,1.402,0.373186,1971.11,2071.68
53,2139,13.2964,0.0890757,1.45186,0.339431,1994.11,2117.79
