id,size,synthesizingArea,offspringCount,offspringQuality,energy,maxEnergy
582,9.84417,0.145603,1.22339,0.522125,89.0265,127.722
581,10.9352,0.0975607,1.28554,0.847923,94.8061,779.543
578,10.3468,0.141757,1.01387,0.722246,274.83,426.861
577,11.6599,0.121692,1.22339,0.390103,124.022,124.439
576,15.2405,0.173027,1.22339,0.237449,74.3539,74.734
575,11.6599,0.154813,1.22339,0.390103,119.345,119.746
574,17.4433,0.0854005,1.22339,0.390103,432.398,433.852
573,6.26728,0.102914,1.22339,0.522932,25.605,43.0727
572,11.6599,0.121692,1.22339,0.362545,102.451,102.818
571,15.3326,0.136852,1.15858,0.390103,277.139,278.071
149,15.2405,0.117818,1.22339,0.390103,278.177,279.112
568,10.2034,0.0931967,1.58065,0.282748,41.5656,41.7436
567,16.3244,0.109962,0.990941,1,2485.44,3871.87
262,12.1219,0.109962,0.990941,1,205.916,1585.32
536,11.6599,0.121692,1.60499,0.480446,264.614,265.305
570,17.3312,0.0768367,1.22339,0.140186,41.213,41.5157
563,10.4309,0.148291,0.656464,0.857977,595.598,898.606
562,10.5186,0.0662682,1.00074,0.59162,227.819,402.427
561,10.5186,0.090228,1.00074,0.59162,278.851,392.101
560,15.7657,0.142176,0.916319,0.495501,858.692,860.724
559,13.4955,0.0964514,0.916319,0.833774,1147.98,2047.5
558,16.4037,0.0780905,0.916319,0.807032,965.807,3450.77
557,12.4185,0.116838,0.916319,0.833774,553.492,1559.39
556,14.5849,0.140216,0.741151,0.655061,1358.4,1360.96
153,20.6864,0.0975855,1.07762,0.655061,3217.49,4075.67
274,11.6599,0.121692,1.16087,0.390103,271.799,272.503
550,11.6599,0.145603,1.22339,0.756591,1063.56,1354.39
508,9.78704,0.106565,1.25519,0.528997,326.257,474.588
549,10.091,0.121692,2.09448,0.332788,228.136,228.678
187,11.5093,0.0522464,1.63379,0.207976,186.172,192.774
504,8.52712,0.0925545,1.07762,0.637875,284.456,499.927
175,6.94286,0.0728935,1.00074,0.235703,47.5122,61.0729
543,14.9042,0.108657,1.12803,0.820986,2951.04,2951.04
542,23.0067,0.0642369,1.22339,0.268586,3352.9,3420.95
541,15.8644,0.0723488,1.71656,0.390103,970.529,1961.85
540,15.2405,0.0436335,1.71656,0.585119,745.227,3385.49
539,9.34597,0.0332134,1.14753,0.336536,96.2342,342.416
535,12.7555,0.0700411,1.07762,0.838761,1001.83,1929.99
534,14.0043,0.0980035,1.07762,0.838761,2477.34,2477.34
533,10.9497,0.0841511,1.07762,0.762338,688.993,1202.36
532,12.408,0.121692,2.64272,0.238078,515.046,516.192
531,12.408,0.136464,1.93942,0.296791,650.448,651.78
530,10.3571,0.0678397,1.58065,0.352345,304.388,539.939
529,11.6599,0.105055,1.22339,0.297725,615.458,617.186
528,16.684,0.121692,1.60499,0.390103,1763.23,2532.54
527,13.8915,0.0795679,0.959147,0.787089,2105.97,2467.39
526,11.6599,0.121692,1.22339,0.324271,687.165,688.47
525,11.6599,0.102914,1.22339,0.390103,703.918,893.838
524,19.2968,0.117818,1.8126,0.285753,2693.03,2698.4
523,12.0113,0.145115,0.737096,0.390103,929.51,931.14
522,10.7305,0.124844,0.918552,0.787089,1081.3,1081.3
521,15.3866,0.172529,0.827715,1,3014.26,3014.26
520,12.2694,0.0662682,1.00074,0.481328,671.175,1541.76
519,10.8788,0.146125,1.22339,0.339967,531.444,614.991
544,14.9042,0.0581716,1.12803,0.521824,876.101,2336.81
505,10.2034,0.0948292,1.29374,0.448768,541.948,813.43
517,17.302,0.0762658,0.99041,0.262664,2082.09,2219.92
516,8.54283,0.0963758,1.04484,0.536205,180.155,563.37
515,12.7422,0.145168,1.41064,1,1768.56,1768.56
514,10.5186,0.069165,1.02339,0.235703,386.62,485.373
513,13.936,0.0669113,1.58065,0.489044,1532.75,2525.43
512,13.936,0.0600672,1.58065,0.489044,734.483,2543.95
511,11.5093,0.0522464,2.34482,0.125723,326.006,417.726
510,20.1724,0.0964514,1.32901,0.688125,7416.91,7416.91
509,11.6599,0.105055,1.22339,0.522125,1418.67,1418.67
507,17.3312,0.0768367,1.22339,0.137341,1833.41,1887.59
506,15.8601,0.0888523,1.58065,0.0977794,1288.85,1291.59
250,8.66345,0.105055,1.07762,0.44377,506.191,581.928
503,9.79041,0.0934397,0.987336,0.698093,850.744,850.744
502,11.6599,0.0674098,1.07762,0.637875,886.86,1478.35
15,10.0381,0.106965,0.944557,0.403798,859.248,903.285
500,11.6599,0.105055,1.22339,0.326713,1281.21,1418.67
499,17.4197,0.121692,1.41916,0.390103,4642.7,4642.7
6,12.408,0.0805965,1.41916,0.390103,1294.14,1756.34
498,13.9236,0.0676687,1.22339,0.229515,1314.21,2154.41
497,11.2395,0.0879372,0.986096,0.869505,1294.99,1294.99
93,11.5093,0.0731054,1.33644,0.207976,780.188,1299.63
65,11.5093,0.0522464,0.88992,0.207976,558.325,1328.88
140,14.8383,0.105055,1.46462,0.447486,2923.83,2923.83
178,15.2405,0.0856972,1.71656,0.390103,3236.58,3236.58
492,10.2034,0.0948292,1.09893,0.417356,961.539,961.539
270,10.2034,0.0948292,1.72159,0.608508,961.539,961.539
494,11.6599,0.121692,1.60499,0.557486,1392.3,1392.3
489,8.36704,0.0718946,1.58065,0.282748,360.983,543.642
33,10.3213,0.105055,1.35798,0.30308,983.997,983.997
305,6.09643,0.0543109,1.22339,0.314922,50.3505,214.277
487,10.2034,0.0948292,0.995801,0.394029,961.539,961.539
321,6.68952,0.105055,1.07762,0.402167,267.905,267.905
486,11.111,0.0765658,0.986096,1,1266.68,1266.68
485,11.111,0.0765658,0.986096,0.951379,1266.68,1266.68
484,7.89841,0.109149,1.39631,1,438.959,438.959
482,10.0381,0.118451,0.944557,0.403798,891.667,891.667
16,13.5191,0.0856579,0.944557,0.403798,2259.19,2259.19
460,19.4919,0.0834653,0.916319,0.596835,6787.52,6787.52
479,11.5093,0.039318,2.33578,0.207976,505.949,1464.64
477,11.6599,0.105055,1.22339,0.470247,1418.67,1418.67
452,11.9281,0.106965,1.12911,0.26513,1515.57,1515.57
150,17.302,0.0768367,1.50659,0.268586,4781.57,4781.57
56,11.6599,0.147046,1.54377,0.290885,1352.11,1352.11
474,16.1511,0.114821,0.91722,0.816609,3729.42,3729.42
476,17.302,0.0768367,1.22339,0.14449,4781.57,4781.57
471,17.302,0.0869144,1.476,0.294173,4729.37,4729.37
470,12.408,0.121692,1.91757,0.238078,1677.84,1677.84
434,11.8393,0.17959,1.91757,0.238078,1361.47,1361.47
469,14.7957,0.0670544,1.23966,0.207976,3021.76,3021.76
67,10.2034,0.109722,1.72159,0.511985,945.719,945.719
421,10.2034,0.0948292,1.72159,0.250307,720.205,961.539
12,8.89784,0.0523792,1.00074,0.406892,104.805,198.888
466,8.57438,0.0934685,1.2656,0.5071,571.467,571.467
465,11.8504,0.0794106,1.06016,0.571552,1532.02,1532.02
464,17.302,0.0608632,1.45053,0.390103,4864.3,4864.3
397,11.5093,0.0522464,1.58065,0.207976,1176.46,1444.93
480,13.6952,0.0768367,1.7867,0.119548,1844.08,2371.29
459,8.37621,0.117818,1.22339,0.252797,518.442,518.442
458,15.5229,0.121692,1.22339,0.490495,3285.24,3285.24
457,9.97501,0.0583898,1.68565,0.390103,730.284,934.57
456,11.6599,0.149795,0.911496,0.390103,1347.75,1347.75
455,11.4211,0.119646,1.22339,0.390103,1311.54,1311.54
454,11.6082,0.0821602,0.800509,0.390103,1435.68,1435.68
453,9.78704,0.0957637,0.998146,0.766153,847.688,847.688
451,7.16798,0.158593,1.26168,0.483111,309.881,309.881
450,5.74822,0.122372,1.26168,0.483111,166.691,166.691
449,9.78704,0.106565,1.19229,0.643133,837.563,837.563
448,9.78704,0.106565,0.998146,0.766153,837.563,837.563
447,11.3397,0.0731054,1.58065,0.159673,1351.55,1351.55
446,7.69232,0.0948292,1.72159,0.394029,412.005,412.005
463,13.9459,0.109164,0.834855,0.963352,2416.25,2416.25
261,9.78704,0.106565,0.998146,0.766153,837.563,837.563
444,10.5186,0.0636034,0.7827,0.235703,1089.77,1089.77
443,16.6238,0.0964514,1.03445,0.699314,4150.91,4150.91
442,13.5618,0.105055,1.01567,0.470247,2232.29,2232.29
441,19.2876,0.117818,1.11874,0.390103,6329.79,6329.79
392,6.53851,0.0934685,1.02927,0.571552,253.408,253.408
60,19.366,0.0802747,1.66116,0.616732,6680.07,6680.07
23,13.243,0.0969936,1.40122,0.683443,2097.24,2097.24
202,10.2179,0.116977,0.79336,0.866136,942.015,942.015
431,10.2034,0.0718946,1.58065,0.436446,985.901,985.901
430,10.2034,0.0388822,1.59319,0.436446,707.18,1020.97
429,9.72184,0.127236,1.06016,0.571552,801.939,801.939
428,17.302,0.0670531,1.65855,0.390103,4832.24,4832.24
427,15.2405,0.117818,1.22339,0.390103,3122.88,3122.88
426,17.4433,0.141756,1.22339,0.390103,4555.1,4555.1
425,11.6599,0.168213,1.22339,0.313802,1318.55,1318.55
424,12.97,0.102914,1.22339,0.390103,1957.27,1957.27
147,11.6599,0.14479,0.728385,0.390103,1236.3,1355.68
422,12.7397,0.0445967,1.22419,0.235703,1940.05,1975.43
288,11.6599,0.0980035,1.54622,0.837234,1429.85,1429.85
420,11.2616,0.121692,1.16087,0.390103,1254.42,1254.42
419,12.9158,0.105055,1.07762,0.499805,1928.24,1928.24
435,12.7207,0.114715,0.949751,1,1822.26,1822.26
97,14.9075,0.0964514,1.36881,0.833774,2993.4,2993.4
320,10.5186,0.0652588,1.02067,0.889214,1087.84,1087.84
402,15.6796,0.0817981,1.22556,0.390103,3539.5,3539.5
416,10.5186,0.0636034,1.00074,0.336325,1089.77,1089.77
165,12.408,0.121692,1.41916,0.429692,1677.84,1677.84
414,9.86522,0.0963758,1.47522,1,867.577,867.577
413,7.02877,0.0963758,1.47522,1,313.78,313.78
412,12.408,0.122279,1.41916,0.390103,1676.72,1676.72
411,8.89784,0.0523792,1.00074,0.367409,647.774,667.557
410,9.72184,0.0934685,1.02348,0.571552,631.41,832.967
375,11.1288,0.154641,1.07762,0.483111,395.569,396.42
408,10.2034,0.0948292,1.29374,0.448768,961.539,961.539
407,11.6599,0.121692,1.61197,0.390103,1392.3,1392.3
406,15.2405,0.117818,1.22339,0.390103,2898.89,3122.88
405,11.6599,0.105055,1.22339,0.390103,1281.35,1418.67
308,15.3326,0.105055,1.22339,0.390103,3225.84,3225.84
88,17.302,0.0768367,1.22339,0.268586,4781.57,4781.57
371,10.0381,0.106965,1.12911,0.26513,903.285,903.285
158,8.64803,0.105055,1.71572,0.499805,578.825,578.825
2,9.80892,0.105055,1.71572,0.499805,844.617,844.617
399,11.5093,0.0522464,1.58065,0.207976,1444.93,1444.93
398,12.2694,0.0777805,1.00074,0.481328,1388.96,1703.36
396,10.4422,0.0996779,0.857648,0.640826,1025.13,1025.13
393,17.302,0.0768367,1.22339,0.14449,4781.57,4781.57
439,14.1628,0.044993,0.99041,0.535999,2713.04,2713.04
390,10.5186,0.0662682,0.699591,0.60473,1086.67,1086.67
109,13.9236,0.0676687,1.22339,0.294173,2383.11,2516.65
488,10.2034,0.0948292,1.86841,0.394029,961.539,961.539
388,12.408,0.121692,1.41916,0.390103,1677.84,1677.84
387,11.6599,0.0563226,1.55711,1,1388,1495.92
384,11.111,0.103758,1.26603,0.802511,1229.38,1229.38
383,11.6599,0.145603,1.22339,0.522125,1354.39,1354.39
445,10.5186,0.0566086,1.00074,0.235703,1097.91,1097.91
382,10.0381,0.106965,0.944557,0.403798,903.285,903.285
378,10.5186,0.113268,0.766458,0.749394,1031.97,1031.97
380,10.6542,0.108657,1.30221,0.604742,1077.97,1077.97
246,10.5186,0.083238,1.377,0.749394,1066.92,1066.92
304,9.35282,0.0980195,0.835094,0.890069,737.946,737.946
377,17.302,0.0768367,1.07636,0.268586,4246.33,4781.57
376,10.5186,0.0391951,1.00074,0.804163,1118.17,1118.17
553,8.44142,0.105055,1.07762,0.402167,133.753,134.073
374,11.6599,0.121692,1.60499,0.480446,1333.08,1392.3
373,15.0289,0.121692,1.60499,0.390103,2981.45,2981.45
372,15.8601,0.0731054,1.58065,0.159673,2976.36,3697.87
385,4.52747,0.105055,1.22339,0.642594,83.0545,83.0545
370,15.2405,0.0436335,1.71656,0.390103,3385.49,3385.49
369,15.2405,0.0723488,1.71656,0.390103,3283.83,3283.83
368,11.6599,0.0812417,0.698368,0.470247,1456.42,1456.42
367,12.9158,0.105055,1.35798,0.30308,1928.24,1928.24
365,12.9799,0.0637179,0.986408,0.661193,2047.49,2047.49
364,10.2034,0.0718946,0.910721,0.307628,985.901,985.901
363,11.6599,0.108411,1.22339,0.462692,1413.35,1413.35
362,10.4521,0.0788692,1.27638,0.866136,1051.79,1051.79
361,10.4521,0.0505244,1.07509,0.866136,1084.15,1084.15
360,10.3468,0.141757,1.01387,0.722246,950.674,950.674
359,10.5186,0.0636034,1.00074,0.235703,1089.77,1089.77
358,10.6906,0.0964514,1.20281,0.993446,1103.96,1103.96
357,11.385,0.109943,0.705272,0.435772,1313.44,1313.44
356,20.6864,0.0975855,1.07762,0.655061,7988.38,7988.38
355,10.0381,0.0856579,0.944557,0.403798,924.836,924.836
353,11.6599,0.105055,1.22339,0.326713,1418.67,1418.67
352,10.8788,0.121692,0.683465,0.390103,1130.82,1130.82
324,8.52712,0.105055,1.07762,0.637875,554.886,554.886
30,10.5257,0.0663626,1.00074,0.420162,1088.76,1088.76
351,14.8383,0.105055,1.22339,0.470247,2923.83,2923.83
349,10.3571,0.0669113,1.58065,0.508844,1036.67,1036.67
348,9.60376,0.129823,1.02348,0.877308,770.781,770.781
345,15.7657,0.10034,0.916319,0.833774,1656.8,3525.5
344,13.4955,0.0964514,0.916319,0.88735,2220.84,2220.84
343,16.4037,0.0780905,0.916319,0.833774,4069.21,4069.21
342,10.5186,0.0636034,1.00074,0.336325,1089.77,1089.77
340,10.5186,0.0566086,1.00074,0.235703,1097.91,1097.91
339,19.4919,0.0964514,0.916319,0.596835,6691.35,6691.35
338,10.9352,0.0975607,0.989006,0.724799,1180.05,1180.05
337,10.0381,0.106965,1.12911,0.26513,903.285,903.285
336,17.3312,0.0768367,1.22339,0.119548,4805.81,4805.81
18,10.9352,0.0975607,1.28554,0.728983,1180.05,1180.05
0,10.5186,0.0332134,1.14753,0.336536,673.829,1125.14
128,10.2034,0.0948292,1.72159,0.394029,961.539,961.539
333,11.6599,0.0821602,1.22339,0.390103,1454.96,1454.96
332,11.4211,0.119646,1.22339,0.390103,1311.54,1311.54
331,11.6599,0.121692,1.54377,0.390103,1392.3,1392.3
330,11.6599,0.149795,1.22339,0.390103,1347.75,1347.75
329,11.6599,0.102914,1.22339,0.390103,1422.06,1422.06
328,9.72184,0.0502153,1.10557,0.662675,872.71,872.71
327,13.7027,0.106565,0.986036,0.857977,1818.82,2298.71
323,10.4309,0.121617,0.986036,0.857977,803.214,996.882
334,11.6599,0.121692,1.22339,0.390103,1392.3,1392.3
137,11.6599,0.121692,1.16087,0.390103,1392.3,1392.3
49,10.6001,0.0636034,1.00074,0.367409,1115.29,1115.29
319,11.5093,0.0522464,1.17298,0.207976,1377.11,1444.93
322,10.6906,0.0964514,0.782318,1,471.939,1103.96
394,14.4055,0.122554,0.739853,0.866136,2623.06,2623.06
101,11.3632,0.087374,0.728495,0.395549,1339.06,1339.06
10,14.9042,0.108657,1.12803,0.820986,2951.04,2951.04
318,5.74822,0.122372,1.26168,0.483111,166.691,166.691
317,11.8504,0.12477,1.06016,0.571552,1456.53,1456.53
316,10.9497,0.0841511,1.07762,0.838761,838.891,1202.36
315,11.6599,0.121692,1.22339,0.390103,1285.29,1392.3
314,11.6599,0.102914,1.22339,0.390103,1422.06,1422.06
313,11.8102,0.0817981,0.966229,0.390103,1512.55,1512.55
312,11.6599,0.105055,1.22339,0.390103,1281.35,1418.67
311,12.9158,0.105055,1.07762,0.499805,1928.24,1928.24
278,10.2034,0.0948292,1.72159,0.448768,961.539,961.539
205,8.44142,0.105055,1.07762,0.402167,538.322,538.322
184,15.8541,0.0912279,0.990941,1,2215.8,3621.43
301,14.0638,0.0948292,0.91722,0.816609,2517.93,2517.93
300,14.0638,0.0948292,0.91722,0.681483,2517.93,2517.93
299,17.302,0.0869144,1.22339,0.294173,4729.37,4729.37
99,12.2442,0.0718946,1.58065,0.282748,1703.69,1703.69
3,6.68952,0.105055,1.07762,0.402167,267.905,267.905
297,12.408,0.121692,1.41916,0.429692,1677.84,1677.84
296,12.408,0.121692,1.91757,0.238078,1677.84,1677.84
295,14.5228,0.0926153,0.725522,0.554886,2779.35,2779.35
294,9.78704,0.106565,0.998146,0.766153,837.563,837.563
293,13.243,0.0969936,1.40122,0.55473,2097.24,2097.24
292,13.243,0.0428619,1.40122,1,1601.45,2222.97
303,12.1577,0.0636034,1.00074,0.234394,1682.74,1682.74
501,11.6599,0.105055,0.842967,0.326713,248.093,248.759
20,11.5093,0.0731054,1.58065,0.207976,1413.13,1413.13
231,17.302,0.0768367,1.22339,0.268586,4781.57,4781.57
160,9.78704,0.106565,0.998146,0.766153,837.563,837.563
251,9.78704,0.106565,0.998146,1,837.563,837.563
235,10.9497,0.122372,1.07762,0.483111,1152.18,1152.18
493,19.4919,0.0964514,0.833444,0.596835,6691.35,6691.35
287,11.111,0.114654,0.986096,1,1214.43,1214.43
